Tub,Tub,#,Date: Wet Weight,Initial Mass (g),Missing Limbs,1st Molt Date,1st Molt Exp Day,Date: Wet Weight,Mass 1 (g),Missing Limbs,2nd Molt Date,2nd Molt Exp Day,Date: Wet Weight,Mass 2 (g),Missing Limbs,3rd Molt Date,3rd Molt Exp Day,Date: Wet Weight,Mass 3 (g),Missing Limbs,4th Molt Date,4th Molt Exp Day,Date: Wet Weight,Mass 4 (g),Missing Limbs,5th Molt Date,5th Molt Exp Day,Date: Wet Weight,Mass 5 (g),Missing Limbs,Death Date,Death: Exp Day,Comments:
3,3,6,2012-08-01 00:00:00,0.0175,No,2012-08-15 00:00:00,11,2012-08-22 00:00:00,0.0265,ML3,2012-09-17 00:00:00,44,2012-09-24 00:00:00,0.025,No,,,,,,,,,,,,,,,,2012-11-13 00:00:00,101,11/12/12: Crab ABD; 11/20/12: Died while molting-LJH
3,3,7,2012-08-01 00:00:00,0.0199,No,2012-08-16 00:00:00,12,2012-08-23 00:00:00,0.0329,No,,,,,,,,,,,,,,,,,,,,,2012-10-06 00:00:00,63,10/6/12- Died while molting.
3,3,8,2012-08-01 00:00:00,0.0156,No,2012-08-27 00:00:00,23,2012-09-03 00:00:00,0.0168,No,,,,,,,,,,,,,,,,,,,,,2012-09-04 00:00:00,31,
3,3,9,2012-08-01 00:00:00,0.0153,No,2012-08-21 00:00:00,17,2012-08-28 00:00:00,0.0252,No,,,,,,,,,,,,,,,,,,,,,2012-10-10 00:00:00,67,10/7/12 (Day 64)-10/9/12 (Day 66)- Crab ABD;  died on 10/10/12.
3,3,10,2012-08-01 00:00:00,0.0176,No,2012-08-17 00:00:00,13,2012-08-24 00:00:00,0.0255,No,2012-09-23 00:00:00,50,2012-09-30 00:00:00,0.0279,No,,,,,,,,,,,,,,,,2012-10-04 00:00:00,61,
3,3,11,2012-08-01 00:00:00,0.0247,No,2012-08-10 00:00:00,6,2012-08-17 00:00:00,0.0503,No,2012-09-08 00:00:00,35,2012-09-15 00:00:00,0.0703,No,2012-10-21 00:00:00,78,2012-10-28 00:00:00,0.0608,MR1,,,,,,,,,,,,,
3,3,12,2012-08-01 00:00:00,0.0171,No,2012-08-20 00:00:00,16,2012-08-27 00:00:00,0.0313,No,2012-09-29 00:00:00,56,2012-10-06 00:00:00,0.0233,MR1,2012-11-20 00:00:00,108,2012-11-27 00:00:00,0.0222,Legs from molt stuck on crab,,,,,,,,,,,,,11/17/12-11/19/12: Crab Molting 11/20/12: Several legs still stuck on crab from molt.-LJH
3,3,13,2012-08-01 00:00:00,0.0181,No,2012-08-17 00:00:00,13,2012-08-24 00:00:00,0.0267,No,2012-09-20 00:00:00,47,2012-09-27 00:00:00,0.0262,No,,,,,,,,,,,,,,,,2012-10-17 00:00:00,74,10/16/12 (Day 73)- crab ABD. 10/17/12- crab died.
3,3,14,2012-08-01 00:00:00,0.0222,No,2012-08-09 00:00:00,5,2012-08-16 00:00:00,0.0381,No,2012-09-11 00:00:00,38,2012-09-18 00:00:00,0.0416,No,,,,,,,,,,,,,,,,2012-09-28 00:00:00,55,
3,3,15,2012-08-01 00:00:00,0.0169,No,2012-08-13 00:00:00,9,2012-08-20 00:00:00,0.03,No,2012-09-10 00:00:00,37,2012-09-17 00:00:00,0.0346,No,2012-11-02 00:00:00,90,2012-11-09 00:00:00,0.0307,"ML3, ML4, MR4",,,,,,,,,,,2013-01-13 00:00:00,162,1/7/13-1/8/13: Crab ABD and Molting. 1/9/13-1/12/13: Crab molting. 1/13/13: Crab died while attempting to molt.
3,3,16,2012-08-01 00:00:00,0.018,No,2012-08-22 00:00:00,18,2012-08-29 00:00:00,0.0295,No,2012-09-23 00:00:00,50,2012-09-30 00:00:00,0.0294,No,,,,,,,,,,,,,,,,2012-12-21 00:00:00,139,12/14/12-12/15/12: Crab molting and ABD. 12/16/12-12/20/12: Crab molting. 12/21/12: Crab died while attempting to molt.
3,3,17,2012-08-01 00:00:00,0.0175,No,2012-08-27 00:00:00,23,2012-09-03 00:00:00,0.0212,No,,,,,,,,,,,,,,,,,,,,,2012-10-09 00:00:00,66,
3,3,18,2012-08-01 00:00:00,0.0155,No,2012-08-11 00:00:00,7,2012-08-18 00:00:00,0.0313,No,2012-09-13 00:00:00,40,2012-09-20 00:00:00,0.034,No,,,,,,,,,,,,,,,,2012-09-28 00:00:00,55,
3,3,19,2012-08-01 00:00:00,0.0143,No,2012-08-16 00:00:00,12,2012-08-23 00:00:00,0.0259,No,,,,,,,,,,,,,,,,,,,,,2012-11-02 00:00:00,90,
3,3,20,2012-08-01 00:00:00,0.0216,No,2012-08-13 00:00:00,9,2012-08-20 00:00:00,0.0364,No,,,,,,,,,,,,,,,,,,,,,2012-10-06 00:00:00,63,9/23/12 (Day 50)- 10/5/12 (Day 62)-Crab attempting to molt.  10/6/12- Died while attempting to molt.
