Date,Exp. Day,# Alive Tub 1,# Alive Tub 2,# Alive Tub 3,# Alive Tub 4,# Alive Tub 5,# Alive Tub 6,,% Alive Tub 1,% Alive Tub 2,% Alive Tub 3,% Alive Tub 4,% Alive Tub 5,% Alive Tub 6
pH treatment,,ambient,ambient,ambient,pH 7.8,pH 7.8,pH 7.8,,ambient,ambient,ambient,pH 7.8,pH 7.8,pH 7.8
Temp treatment,,ambient,ambient +4,ambient +2,ambient,ambient +2,ambient +4,,ambient,ambient +4,ambient +2,ambient,ambient +2,ambient +4
2012-10-20 00:00:00,77,24,22,18,20,23,16,,80,78.57142857142857,60,66.66666666666666,76.66666666666667,55.172413793103445
2012-10-21 00:00:00,78,24,22,18,20,22,16,,80,78.57142857142857,60,66.66666666666666,73.33333333333333,55.172413793103445
2012-10-22 00:00:00,79,24,21,18,18,22,14,,80,75,60,60,73.33333333333333,48.275862068965516
2012-10-23 00:00:00,80,24,21,18,18,22,13,,80,75,60,60,73.33333333333333,44.827586206896555
2012-10-24 00:00:00,81,23,21,18,17,21,12,,76.66666666666667,75,60,56.666666666666664,70,41.37931034482759
2012-10-25 00:00:00,82,23,21,17,17,21,12,,76.66666666666667,75,56.666666666666664,56.666666666666664,70,41.37931034482759
2012-10-26 00:00:00,83,23,20,17,17,20,11,,76.66666666666667,71.42857142857143,56.666666666666664,56.666666666666664,66.66666666666666,37.93103448275862
2012-10-27 00:00:00,84,23,20,17,15,20,11,,76.66666666666667,71.42857142857143,56.666666666666664,50,66.66666666666666,37.93103448275862
2012-10-28 00:00:00,85,23,20,17,15,19,11,,76.66666666666667,71.42857142857143,56.666666666666664,50,63.33333333333333,37.93103448275862
2012-10-29 00:00:00,86,23,20,17,15,18,11,,76.66666666666667,71.42857142857143,56.666666666666664,50,60,37.93103448275862
2012-10-30 00:00:00,87,23,20,17,15,18,11,,76.66666666666667,71.42857142857143,56.666666666666664,50,60,37.93103448275862
2012-10-31 00:00:00,88,23,20,17,15,18,10,,76.66666666666667,71.42857142857143,56.666666666666664,50,60,34.48275862068966
2012-11-01 00:00:00,89,23,20,17,15,18,10,,76.66666666666667,71.42857142857143,56.666666666666664,50,60,34.48275862068966
2012-11-02 00:00:00,90,23,20,15,15,18,10,,76.66666666666667,71.42857142857143,50,50,60,34.48275862068966
2012-11-03 00:00:00,91,23,20,15,15,18,10,,76.66666666666667,71.42857142857143,50,50,60,34.48275862068966
2012-11-04 00:00:00,92,23,20,15,14,18,9,,76.66666666666667,71.42857142857143,50,46.666666666666664,60,31.03448275862069
2012-11-05 00:00:00,93,23,20,14,14,18,8,,76.66666666666667,71.42857142857143,46.666666666666664,46.666666666666664,60,27.586206896551722
2012-11-06 00:00:00,94,23,20,14,12,18,8,,76.66666666666667,71.42857142857143,46.666666666666664,40,60,27.586206896551722
2012-11-07 00:00:00,95,21,19,14,12,18,8,,70,67.85714285714286,46.666666666666664,40,60,27.586206896551722
