Tub #,Date,Salinity ppt,Comments
5,2012-08-22 00:00:00,32,
6,2012-08-22 00:00:00,32,
1,2012-08-23 00:00:00,31.9,
2,2012-08-23 00:00:00,32,
3,2012-08-23 00:00:00,31.9,
4,2012-08-23 00:00:00,31.8,
5,2012-08-23 00:00:00,32.1,
6,2012-08-23 00:00:00,32,
1,2012-08-24 00:00:00,31.8,
2,2012-08-24 00:00:00,32.1,
3,2012-08-24 00:00:00,32,
4,2012-08-24 00:00:00,31.9,
5,2012-08-24 00:00:00,32,
6,2012-08-24 00:00:00,32.1,
1,2012-08-25 00:00:00,32.1,
2,2012-08-25 00:00:00,31.9,
3,2012-08-25 00:00:00,32,
4,2012-08-25 00:00:00,31.8,
5,2012-08-25 00:00:00,32.2,
6,2012-08-25 00:00:00,32.1,
1,2012-08-26 00:00:00,31.9,
2,2012-08-26 00:00:00,32.1,
3,2012-08-26 00:00:00,32,
4,2012-08-26 00:00:00,31.9,
5,2012-08-26 00:00:00,32,
6,2012-08-26 00:00:00,32,
1,2012-08-27 00:00:00,31.8,
2,2012-08-27 00:00:00,31.9,
3,2012-08-27 00:00:00,31.9,
4,2012-08-27 00:00:00,31.8,
5,2012-08-27 00:00:00,31.8,
6,2012-08-27 00:00:00,32,
1,2012-08-28 00:00:00,32,
2,2012-08-28 00:00:00,32.2,
3,2012-08-28 00:00:00,32,
4,2012-08-28 00:00:00,32.1,
5,2012-08-28 00:00:00,32.2,
6,2012-08-28 00:00:00,32.1,
1,2012-08-29 00:00:00,31.6,
2,2012-08-29 00:00:00,32,
3,2012-08-29 00:00:00,31.8,
4,2012-08-29 00:00:00,31.7,
5,2012-08-29 00:00:00,32,
6,2012-08-29 00:00:00,32,
1,2012-08-30 00:00:00,31.7,
2,2012-08-30 00:00:00,32.1,
3,2012-08-30 00:00:00,31.8,
4,2012-08-30 00:00:00,31.8,
5,2012-08-30 00:00:00,31.8,
6,2012-08-30 00:00:00,32,
1,2012-08-31 00:00:00,31.7,
2,2012-08-31 00:00:00,32.1,
3,2012-08-31 00:00:00,31.9,
4,2012-08-31 00:00:00,31.8,
5,2012-08-31 00:00:00,32,
6,2012-08-31 00:00:00,31.9,
1,2012-09-01 00:00:00,32.1,
2,2012-09-01 00:00:00,31,
3,2012-09-01 00:00:00,32,
4,2012-09-01 00:00:00,31.8,
5,2012-09-01 00:00:00,32,
6,2012-09-01 00:00:00,31.8,
1,2012-09-02 00:00:00,31.5,
2,2012-09-02 00:00:00,31.8,
3,2012-09-02 00:00:00,31.9,
4,2012-09-02 00:00:00,31.9,
5,2012-09-02 00:00:00,31.7,
6,2012-09-02 00:00:00,32.1,
1,2012-09-03 00:00:00,31.8,
2,2012-09-03 00:00:00,32.2,
3,2012-09-03 00:00:00,32,
4,2012-09-03 00:00:00,32,
5,2012-09-03 00:00:00,32.6,
6,2012-09-03 00:00:00,32,
1,2012-09-04 00:00:00,31.7,
2,2012-09-04 00:00:00,32,
3,2012-09-04 00:00:00,31.9,
4,2012-09-04 00:00:00,31.8,
5,2012-09-04 00:00:00,32.1,
6,2012-09-04 00:00:00,31.8,
1,2012-09-05 00:00:00,31.8,
2,2012-09-05 00:00:00,32,
3,2012-09-05 00:00:00,31.9,
4,2012-09-05 00:00:00,31.7,
5,2012-09-05 00:00:00,32,
6,2012-09-05 00:00:00,32.2,
1,2012-09-06 00:00:00,31.7,
2,2012-09-06 00:00:00,31.7,
3,2012-09-06 00:00:00,31.8,
4,2012-09-06 00:00:00,31.7,
5,2012-09-06 00:00:00,31.9,
6,2012-09-06 00:00:00,32.2,
1,2012-09-07 00:00:00,31.8,
2,2012-09-07 00:00:00,31.8,
3,2012-09-07 00:00:00,31.9,
4,2012-09-07 00:00:00,31.6,
5,2012-09-07 00:00:00,31.8,
6,2012-09-07 00:00:00,31.9,
1,2012-09-08 00:00:00,31.4,
2,2012-09-08 00:00:00,31.9,
3,2012-09-08 00:00:00,31.8,
4,2012-09-08 00:00:00,31.8,
5,2012-09-08 00:00:00,31.9,
6,2012-09-08 00:00:00,31.8,
1,2012-09-09 00:00:00,31.3,
2,2012-09-09 00:00:00,31.9,
3,2012-09-09 00:00:00,31.7,
4,2012-09-09 00:00:00,31.6,
